,region,day_of_week,hour,pred_demand,actual_demand,start_lat,start_lng
345,2,Saturday,9,385.629350110463,270.0,59.42023696041834,24.710512620282447
647,4,Saturday,23,386.99344700334376,135.0,59.42869495737849,24.801296945203195
346,2,Saturday,10,386.4047198758727,257.0,59.41869546328606,24.707893873657593
349,2,Saturday,13,392.04007365268933,378.0,59.41814368351119,24.71002902799644
350,2,Saturday,14,392.9485101706962,430.0,59.416994109497324,24.70910872662664
351,2,Saturday,15,394.53870660415004,418.0,59.417090986477625,24.707740692778795
352,2,Saturday,16,397.30107774319833,478.0,59.41912991608579,24.707743863729753
353,2,Saturday,17,399.05416042246753,341.0,59.41888258897151,24.709032035170516
354,2,Saturday,18,395.3820670632404,313.0,59.41678726176907,24.707267580810843
355,2,Saturday,19,401.14124183700716,314.0,59.419869524111114,24.707385408036565
356,2,Saturday,20,403.2923330972756,279.0,59.41666850463414,24.709078347990705
357,2,Saturday,21,406.49496398468585,353.0,59.419861302285675,24.70703913676498
348,2,Saturday,12,390.2039157949563,355.0,59.41889154044732,24.708585037506904
347,2,Saturday,11,383.1406065292214,298.0,59.417524457653506,24.708050513060886
359,2,Saturday,23,411.80308448699407,219.0,59.423618404465564,24.70666241046461
205,1,Saturday,13,397.9428622495833,175.0,59.405240907645805,24.644743784462698
62,0,Saturday,14,433.67376414629047,632.0,59.43314617586265,24.751603389077026
61,0,Saturday,13,432.195160204436,535.0,59.433524917016975,24.751754576140144
60,0,Saturday,12,430.0377538992564,503.0,59.43267850193276,24.752038805487096
59,0,Saturday,11,428.83069774407124,446.0,59.433871372582935,24.75268082813423
58,0,Saturday,10,423.3270960989295,398.0,59.43365681922217,24.75208399671239
56,0,Saturday,8,422.19720003698467,442.0,59.4339667916252,24.750796669275537
55,0,Saturday,7,421.0286480670663,637.0,59.43252958832851,24.74970554118191
54,0,Saturday,6,419.3662300062618,559.0,59.432922415122775,24.748922535831394
53,0,Saturday,5,417.58326324082674,326.0,59.43278076242481,24.7505395787893
52,0,Saturday,4,416.4070788225417,224.0,59.43402376316937,24.749653936988892
51,0,Saturday,3,414.91586126996543,270.0,59.4345612856419,24.749778853801843
50,0,Saturday,2,413.2292540878423,419.0,59.435053175421906,24.748674802796423
204,1,Saturday,12,395.5656766548215,131.0,59.40427942896278,24.645675493726323
203,1,Saturday,11,392.764796190047,122.0,59.40131940847054,24.647707992408876
202,1,Saturday,10,390.34410543861605,108.0,59.400006005297456,24.647458040296637
201,1,Saturday,9,390.61712441290564,136.0,59.40477264997071,24.646653428494705
200,1,Saturday,8,387.5639963380734,165.0,59.402181487788305,24.643305373279855
199,1,Saturday,7,385.9644444446696,181.0,59.40218746059803,24.65029353343296
198,1,Saturday,6,385.88692868845106,178.0,59.40500938277924,24.650726617122032
197,1,Saturday,5,381.36646561509065,148.0,59.4001973792645,24.644892575745107
196,1,Saturday,4,378.5095132291215,67.0,59.398719238482826,24.639801591362016
195,1,Saturday,3,377.56977036445016,36.0,59.39860655825807,24.650243065309215
194,1,Saturday,2,378.4287020112516,43.0,59.407529948458425,24.638085033886153
193,1,Saturday,1,372.239242435115,49.0,59.395841611412976,24.643532169156238
49,0,Saturday,1,411.7697623069661,458.0,59.4358426872619,24.748016555436052
192,1,Saturday,0,371.7326570916361,74.0,59.39708110772387,24.655207873230818
48,0,Saturday,0,410.1031558897422,556.0,59.435618637004296,24.748567962217813
63,0,Saturday,15,435.40410683298416,701.0,59.432897707684816,24.751566795655673
64,0,Saturday,16,437.5834473080331,714.0,59.43341470299065,24.750652499801294
57,0,Saturday,9,424.7884774756394,445.0,59.43451595709928,24.751761970571376
66,0,Saturday,18,441.42541148164577,593.0,59.43385788950523,24.751407785666803
65,0,Saturday,17,439.19929242471164,664.0,59.43354353950767,24.750681512355204
215,1,Saturday,23,414.264363697149,119.0,59.402186031222264,24.647915577099763
214,1,Saturday,22,413.9048465116533,181.0,59.40555423368964,24.644576038433964
213,1,Saturday,21,410.2425082241208,158.0,59.401441988225166,24.64359066450681
211,1,Saturday,19,408.6050540742333,160.0,59.40539926609112,24.64579906439895
210,1,Saturday,18,400.77222006941906,218.0,59.40446579533532,24.646272835238715
209,1,Saturday,17,396.2184705458493,205.0,59.400495474605265,24.648689656981116
208,1,Saturday,16,402.9509080313001,225.0,59.404617019283016,24.644963250119755
212,1,Saturday,20,409.5567378266197,173.0,59.40371076291536,24.64567746074408
206,1,Saturday,14,398.5615871308881,207.0,59.40292310024608,24.643794874120562
71,0,Saturday,23,450.81634245389694,859.0,59.435988194757414,24.7489596641086
70,0,Saturday,22,448.8744694176873,1065.0,59.435613600837684,24.748707046007567
69,0,Saturday,21,447.18922004186624,904.0,59.435335976288535,24.749889828223864
68,0,Saturday,20,444.79952300677957,742.0,59.43448066198814,24.750356072156254
207,1,Saturday,15,402.48271302089177,199.0,59.40705975929048,24.646922899752045
67,0,Saturday,19,443.25415437326365,598.0,59.43525131631383,24.750727446863596
666,4,Sunday,18,298.2320821518819,89.0,59.426281588772724,24.79683585652639
665,4,Sunday,17,294.88585836433924,106.0,59.423306916509944,24.799774791376898
664,4,Sunday,16,287.049168764683,210.0,59.42581042041762,24.800635349379537
663,4,Sunday,15,292.15828220035894,215.0,59.42420572074475,24.802230395661162
662,4,Sunday,14,290.35343854467703,200.0,59.42430805893257,24.8009102773755
660,4,Sunday,12,287.5619095966275,126.0,59.42578621794623,24.8007630150453
226,1,Sunday,10,300.89465469412,74.0,59.4044631249922,24.650548747501304
659,4,Sunday,11,284.5261982842195,87.0,59.4232075590929,24.803103478662404
667,4,Sunday,19,299.19592463084234,91.0,59.42446964113706,24.79753890840944
657,4,Sunday,9,281.0405828485074,87.0,59.42316891980222,24.801505681085814
658,4,Sunday,10,283.2266246343389,79.0,59.42379510629448,24.803419093694636
661,4,Sunday,13,289.3224895653798,157.0,59.4258420343431,24.801266466859182
668,4,Sunday,20,303.84286031260837,98.0,59.431060876453536,24.80131385793043
220,1,Sunday,4,302.1930482459299,61.0,59.40254901017278,24.64869000932563
